Name of infrastructure,OID
Symphony Sport ground,#N/A
Table View Sport ground,#N/A
Theo Marais Sport ground,#N/A
Tygerhof Sport ground,#N/A
Uitsig  Sport ground,#N/A
Village 3 Sport ground ,#N/A
Westridge Sport ground,#N/A
Woodlands  Sport ground,#N/A
Wynberg Sport ground,#N/A
Yeoville Sport ground,#N/A
Zandvlei Sport ground,#N/A
Ashford Sport ground,#N/A
Du Noon Sport ground,#N/A
Eversdal Sport ground,#N/A
Helderzicht Sport ground,#N/A
Irvine Str Sport ground,#N/A
Kraaifontein Sport ground,#N/A
NY 116  Sport ground ,#N/A
Spine Rd  Sport ground,#N/A
Upper Cambridge Sport ground,#N/A
Voorbrug Sport ground,#N/A
Wallacedene Sport ground,#N/A
Welgemoed Sport ground,#N/A
Wesbank Sport ground,#N/A
Westlake Sport ground,#N/A
Community Centre Facilities,#N/A
Langa Civic Hall,11195
Durbanville Town Hall,#N/A
Chris Hani hall,11027
"Michells Plain, Civic Hall",#N/A
"Mitchells Plain, Minor Hall",#N/A
Mowbray Town Hall 1,#N/A
Mowbray Town Hall 2,#N/A
Observatory Community and Rec Centre,#N/A
SCHOTSCHE KLOOF HALL,#N/A
Strand Hall,#N/A
Morning Star Community Hall,#N/A
Monwabisi Sports and Rec Centre,#N/A
Elukhanyisweni Recreational Centre,#N/A
Woodstock Hall,#N/A
COCT City Hall,#N/A
Lenteguer Civic,#N/A
Milnerton Hall,#N/A
Mfuleni Hall,#N/A
Rebecca Van Amsterdam,#N/A
Rylands Hall,#N/A
Salt River Hall,#N/A
Sea Point Civic,#N/A
Valhalla MPC,#N/A
Westridge Civic Centre,12075
Hanover Park CC,#N/A
Lavender Hill Coimmunity Centre,#N/A
Northwood Hall,12301
Ocean View Civic,#N/A
Retreat Community Centre,12160
Rocklands Civic Centre,11976
Saxson sea hall,#N/A
Athlone Civic,#N/A
Steenberg Community Centre,12180
Manenberg Community Centre,12157
Colorado Hall,#N/A
Ikwezi Recreational Centre,#N/A
Kensington Civic Centre,12139
Coniston Park Recreation Centre,12133
Bellville South Hall,#N/A
Grassy Park Civic,#N/A
Masiphumelele Hall,#N/A
Mamre Hall,#N/A
Simon's Town Hall,#N/A
Lwandle Hall,#N/A
Ravensmead MPC,#N/A
Woodlands Community Hall,#N/A
Andile Msizi Hall,#N/A
Avondale Hall,#N/A
Bardale MPC,#N/A
Beacon Valley Hall,#N/A
Belhar Civic,#N/A
Belhar Minor Hall,#N/A
Belthorn Rec Centre,#N/A
Bishop Lavis Civic,#N/A
Blackheath Hall,#N/A
Bloekombos Hall,#N/A
Blomvlei CC,#N/A
Blouberg Hall,#N/A
Bluegum CC,#N/A
Bonteheuwel CC,#N/A
Bonteheuwel Civic,#N/A
Bluedowns,#N/A
Bonteheuwel MPC,#N/A
Bothasig Hall,#N/A
Bridgetown Comm,#N/A
Browns Farm Hall,#N/A
Bruce S&R,#N/A
Cathkin Comm Centre ,#N/A
Charles Morkel Hall,#N/A
Claremont Civic,#N/A
Clifton Hall,#N/A
Cravenby Hall,#N/A
Crossroads Community hall,#N/A
Crossroads MPC,#N/A
Dagbreek Hall,#N/A
De Wet Rd Hall,#N/A
Delft Civic,#N/A
Delft South Hall,#N/A
Desmond Tutu Hall,#N/A
Driftsands Hall,#N/A
Druiwevlei Community Centre,#N/A
Du Noon Community Hall,#N/A
Duinefontein CC,#N/A
Dulcie September Civic,#N/A
Easridge Community Centre,#N/A
Edgemead Hall,#N/A
Eesteriver MPC,#N/A
Endlovini Recreation Centre,#N/A
Ext 12 Hall,#N/A
Facreton Community Centre,#N/A
FF Erasmus Hall ,#N/A
Fisantekraal MPC,#N/A
Fish Hoek Civic,#N/A
Garden Village Hall,#N/A
Goodwood Civic Hall,#N/A
Gugulethu Civic Hall,#N/A
Hangberg S&R,#N/A
Hanover Park Civic,#N/A
Happy Valley Hall,#N/A
Heideveld Community Centre,12509
Heinz Park Hall,#N/A
Hillcrest Hall,#N/A
Hout Bay Civic,#N/A
Hugenote Square Centre,#N/A
Kalksteenfontein CC,#N/A
Khayelitsha MPC CBD,#N/A
Khayelitsha Resource Centre,#N/A
Kleinvlei Civic Centre,#N/A
Kraaifontein Civic Centre ,#N/A
KTC Community Hall,#N/A
Lansdowne Civic,#N/A
Lansport CC,#N/A
Leonsdale Community Hall,#N/A
Lobelia Hall,#N/A
Lotus River Sport and Recreation Centre,12297
Luyolo Recreation Centre,#N/A
Macassar New Hall,#N/A
Macassar Old Hall,#N/A
Maitland Garden Village CC,#N/A
Maitland Town Hall,12196
Mandalay Hall ,#N/A
Mandela Peace Park,#N/A
Masibambane Hall,#N/A
Matroosfontein Civic,#N/A
MC Fick Hall,#N/A
Millers camp Community hall,#N/A
Mitchells Plain Family Youth Centre,#N/A
Muizenberg Civic,#N/A
Netreg CC,#N/A
Nomzamo Recreation Hub,#N/A
Nooitgedacht Hall,#N/A
Northdene Hall,#N/A
Northpine hall ,#N/A
Paradise Hall,#N/A
Parkwood Comm,#N/A
Pelican Park Hall,#N/A
Philippi West Hall,#N/A
Phillipi East Hall,#N/A
Phillipi MPC,#N/A
Pinelands Hall,#N/A
Portlands Hall,#N/A
Proteaville Recreation Centre,12497
Range Rd Hall,#N/A
Richwood Community Hall,#N/A
Robinvale hall,#N/A
Rooikrans S&R,#N/A
Sarepta Hall,#N/A
Scarborough Hall,#N/A
Scottsdene S&R Centre,#N/A
Seawinds Comm,#N/A
Sharedon Park Hall,#N/A
Sherwood Park Rec Centre,#N/A
Silvertown Comm,#N/A
Sir Lowry`s Pass Community Hall,#N/A
Site C New Hall,#N/A
Site C Old Hall,#N/A
Site-B Hall,#N/A
Solomon Mahlangu Centre,#N/A
Somerset West Town Hall,#N/A
Strandfontein Hall,12521
Summer Greens Hall,#N/A
Tafelsig Com Centre,#N/A
Tafelsig Hall,#N/A
Tambo Community Hall,#N/A
The Downs CC,#N/A
The Farm Recreation Centre,#N/A
The Hague  Sport & Recreation Centre,#N/A
Uitsig Hall,#N/A
Van Riebeeck Hall,#N/A
Vanguard Hall,#N/A
Wallacedene Hall,#N/A
Weltevreden Rec Centre,#N/A
Weltevreden Valley Hall,#N/A
Wesbank MPC,#N/A
Wynberg Civic,#N/A
Zolani MPC,#N/A
Atlantis Multi purpose Centre,#N/A
Bloubergstrand Hall,#N/A
Brackenfell Hall,#N/A
Elsies River Civic,#N/A
Imizamo Yethu Yellow Hall,#N/A
Joe Slovo S&R,#N/A
Leibrandt Van Niekerk Hall,#N/A
Mfuleni Training Centre,#N/A
Parow Civic Hall,#N/A
Parow North Recreation Centre,#N/A
Sarepta S&R,#N/A
Tambo Square,#N/A
Witsands Informal Settlement Hall,#N/A
Zone 8,#N/A
Zone 10,#N/A
Zone 22,#N/A
Papu Square,#N/A
Bunga Square,#N/A
Hout Street,#N/A
Manenberg,#N/A
NY 110,#N/A
NY 14,#N/A
Millers Point Tidal Pool,#N/A
Kogelbay /Sparks Bay Tidal Pool,#N/A
NY 16,#N/A
Langa Indoor Sports Centre,11242
Swartklip Indoor SC,#N/A
Gugulethu Indoor Sports Complex,#N/A
Belhar Indoor Centre,#N/A
Oliver Tambo Indoor Centre,12508
Portlands Indoor Centre,#N/A
Eersterivier Multi-Purpose Centre,12444
Bardale Multi Purpose Centre,#N/A
Wesbank Multi Purpose Centre,#N/A
Crossroads multipurpose centre,#N/A
Khayelitsha MPC,#N/A
Bellville South Swimming Pool,12061
Langa Pool,#N/A
COCT Long Street Swimming Pool,#N/A
Observatory Swimming Pool,11889
Sea Point Pool,#N/A
Trafalgar Pool,#N/A
Retreat Indoor Pool,#N/A
Bellville Swimming Pool,#N/A
Strand Indoor Pool,#N/A
Goodwood Pool,#N/A
Kensington Pool,#N/A
Athlone Pool,#N/A
Bonteheuwel Pool,#N/A
Ravensmead Pool,#N/A
Vulindlela Pool,#N/A
Parow North Pool,#N/A
Parow Valley Pool,#N/A
Muizenberg Pool,#N/A
Khayelitsha Pool,#N/A
Lentegeur Pool,#N/A
Manenberg Pool,#N/A
Emthonjeni Pool,#N/A
Eastridge Pool,#N/A
Atlantis Pool,#N/A
Blue Downs Indoor Pool,#N/A
Browns Farm Pool,#N/A
Delft Pool,#N/A
Elsies River Pool,#N/A
Hanover Pool,#N/A
Morning Star Pool,#N/A
Monwabisi Swimming Pool,#N/A
Mnandi Pool,#N/A
